,Unnamed: 0,post_code,city,consumption_range_kwh,supplier,tariff,rank,price_year_eur,spot_peak,spot_base,strat_index,validity_period,date
51,8350527,51103,Köln,8000,Criador,Meltan,21.0,2746.9,190.7175,160.08833333333334,2,3 days,2021-11-09
52,8611245,51103,Köln,8000,Criador,Meltan,21.0,2746.9,171.60416666666666,163.13625,2,0 days,2021-11-10
53,8754774,51103,Köln,8000,Criador,Meltan,19.0,2739.4,206.35,176.25958333333332,2,0 days,2021-11-11
54,8837853,51103,Köln,8000,Criador,Meltan,16.0,2754.4,206.35,176.25958333333332,2,3 days,2021-11-11
55,8837853,51103,Köln,8000,Criador,Meltan,16.0,2754.4,206.35,176.25958333333332,2,3 days,2021-11-12
56,8837853,51103,Köln,8000,Criador,Meltan,16.0,2754.4,206.35,176.25958333333332,2,3 days,2021-11-13
57,8837853,51103,Köln,8000,Criador,Meltan,16.0,2754.4,206.35,176.25958333333332,2,3 days,2021-11-14
58,8928457,51103,Köln,8000,Criador,Meltan,18.0,2739.4,205.02,190.42666666666665,2,0 days,2021-11-12
59,9054137,51103,Köln,8000,Criador,Meltan,20.0,2739.4,182.22833333333327,166.89625,2,1 days,2021-11-13
60,9054137,51103,Köln,8000,Criador,Meltan,20.0,2739.4,182.22833333333327,166.89625,2,1 days,2021-11-14
61,9223688,51103,Köln,8000,Criador,Meltan,19.0,2746.9,177.60500000000002,169.29541666666668,2,0 days,2021-11-15
